"comm_fkt","date","inc_lowCI","inc_med","inc_uppCI","inc_true","case_lowCI","case_med","case_uppCI","case_true","pop","hist_year","season","month_lab"
"AMBIABE_AMBALAFASINA",2021-09-01,11.083505958148,17.7478116880318,28.420512640882,NA,12,20,31,NA,1105,3,"2021/2022","Sep"
"AMBIABE_AMBALATENINA",2021-09-01,8.64654226915089,13.3147060097488,20.503636914116,NA,12,19,30,NA,1439,3,"2021/2022","Sep"
"AMBIABE_AMBIABE I",2021-09-01,7.87063823305715,11.8917103651225,17.9677368084934,NA,25,38,57,NA,3171,3,"2021/2022","Sep"
"AMBIABE_AMBINANINDRANOTELO",2021-09-01,8.13698412487494,12.26374233767,18.4837035176027,NA,27,41,62,NA,3368,3,"2021/2022","Sep"
"AMBIABE_ANKABOKA",2021-09-01,8.32447652848129,12.8321495834965,19.7808987543883,NA,13,20,30,NA,1526,3,"2021/2022","Sep"
"AMBIABE_SAHAVATANA",2021-09-01,7.28439320186339,10.7363861485427,15.8246667411594,NA,6,9,14,NA,869,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBALAHERANA",2021-09-01,4.21002919600407,5.8168473583376,8.0348363741173,NA,4,5,7,NA,867,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBALAVARY",2021-09-01,5.77505756850376,8.04269856521841,11.1973408529421,NA,4,6,9,NA,761,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBATOFANOKONANA",2021-09-01,3.78168681504122,5.47951901936689,7.93650097272028,NA,2,4,5,NA,660,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBILANIBE",2021-09-01,6.20918422817972,8.62137339097985,11.9671730124326,NA,4,5,7,NA,610,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIARA",2021-09-01,3.87403863004775,5.37304826021893,7.45018927279603,NA,1,2,2,NA,317,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD",2021-09-01,11.1309440234268,14.9630215981237,20.1105465290983,NA,14,19,25,NA,1260,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIRAFIA",2021-09-01,7.8223667229893,10.7715782166214,14.828687102025,NA,8,12,16,NA,1086,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIVOASARY",2021-09-01,2.76532828157929,3.89201587880784,5.47609094459176,NA,3,4,5,NA,980,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD",2021-09-01,2.32593533216022,3.1774118937734,4.33978482011655,NA,5,7,9,NA,2062,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY",2021-09-01,2.79448185530614,3.88275294844817,5.39359301600916,NA,3,4,6,NA,1140,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD",2021-09-01,5.17370483992286,7.15549239470763,9.89356171492687,NA,7,10,14,NA,1440,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_ANTANJONA",2021-09-01,4.08953712283614,5.70181408010533,7.94776819973232,NA,5,7,9,NA,1174,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_FALIARIVO",2021-09-01,6.91582425564324,9.78237222046354,13.8326508332841,NA,4,6,8,NA,573,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA",2021-09-01,4.97267497769064,7.11941554339812,10.1893873140639,NA,3,4,6,NA,563,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MANDROALINA",2021-09-01,3.64302854288985,5.04441284858362,6.98330025822496,NA,4,6,8,NA,1207,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MAROLANANANA",2021-09-01,14.7371916550954,20.2866626551417,27.9203624182097,NA,13,18,25,NA,894,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MAROSATROKA",2021-09-01,3.22436806273361,4.6368305796635,6.66582349048158,NA,4,5,8,NA,1166,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MASOAROVANA",2021-09-01,3.30018217385683,4.56247727973424,6.30595646762169,NA,4,5,7,NA,1158,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MORARANO",2021-09-01,5.51696382227973,7.61621344780817,10.5115855858884,NA,3,5,7,NA,627,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_NOSIMBOAHANGY",2021-09-01,4.5545471013783,6.54130782441208,9.39138853295801,NA,3,5,6,NA,692,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_SAHAMARANA",2021-09-01,3.71172790207567,5.11130455015401,7.03689654065904,NA,5,6,9,NA,1261,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_SOANIHERENANA NORD",2021-09-01,13.0772127662542,17.5195507783046,23.46675045791,NA,10,14,18,NA,774,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_VOHITRARIVO",2021-09-01,2.55229652895777,3.70045822419662,5.36347733416389,NA,3,4,6,NA,1049,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBINANITOMAROSANA",2021-09-01,0.944732056469284,1.51115530676508,2.41744897624091,NA,1,2,3,NA,1221,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBODIMANGA",2021-09-01,0.746408815854263,1.21601554155597,1.98114245731288,NA,1,1,1,NA,725,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOHIDAZA",2021-09-01,3.71075252959663,6.39611779877625,11.0332190711878,NA,1,2,4,NA,357,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOHIMAHATSINJO",2021-09-01,2.56925694913226,4.00139685051289,6.23308396600139,NA,2,3,5,NA,827,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOHIMAHAVELONA",2021-09-01,1.3940761501599,2.15922723862061,3.34466412687294,NA,1,1,2,NA,563,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOHIMIERA",2021-09-01,1.72788962037478,2.56851324001856,3.81882299198969,NA,2,3,5,NA,1239,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOLO",2021-09-01,1.70827543926774,2.69484550188192,4.25222001446145,NA,1,1,2,NA,455,3,"2021/2022","Sep"
"AMBOHIMIERA_ANDEMAKA NORD",2021-09-01,2.23051699420944,3.35881351863095,5.0588831553538,NA,3,4,6,NA,1132,3,"2021/2022","Sep"
"AMBOHIMIERA_ANDRORANGAVOLA",2021-09-01,1.1718857039952,1.78415788804807,2.71666072564,NA,1,1,2,NA,732,3,"2021/2022","Sep"
"AMBOHIMIERA_ANTARAMBAKANA",2021-09-01,1.86907727155312,2.87556201832244,4.42511758474571,NA,2,2,4,NA,852,3,"2021/2022","Sep"
"AMBOHIMIERA_FALIARIVO",2021-09-01,1.27791900243596,2.01573768127098,3.18006332822459,NA,1,1,2,NA,620,3,"2021/2022","Sep"
"AMBOHIMIERA_FIADANANA NORD",2021-09-01,0.819345085144927,1.31153175320864,2.09936267185526,NA,0,1,1,NA,535,3,"2021/2022","Sep"
"AMBOHIMIERA_MANARINONY",2021-09-01,1.47981196297283,2.23014655744549,3.36142857156321,NA,2,3,4,NA,1178,3,"2021/2022","Sep"
"AMBOHIMIERA_MAROFOTSY",2021-09-01,2.95033104270447,4.39734868748893,6.55558231411875,NA,2,3,5,NA,790,3,"2021/2022","Sep"
"AMBOHIMIERA_MAROMANANA",2021-09-01,1.14490638318024,1.75465187733621,2.68936574293456,NA,2,3,5,NA,1820,3,"2021/2022","Sep"
"AMBOHIMIERA_SAHALALONA",2021-09-01,0.568519852599324,0.877689600063345,1.35515869313864,NA,1,1,2,NA,1197,3,"2021/2022","Sep"
"AMBOHIMIERA_SAHASOMANGANA",2021-09-01,2.18289574870681,3.18888304075145,4.65954733355685,NA,3,4,6,NA,1295,3,"2021/2022","Sep"
"AMBOHIMIERA_TSINJORANO",2021-09-01,2.87179808701118,4.32010099916396,6.50030703442528,NA,2,3,5,NA,701,3,"2021/2022","Sep"
"AMBOHIMIERA_VOHIMENA",2021-09-01,2.09580857991819,3.1370840188593,4.69677935681963,NA,2,3,4,NA,809,3,"2021/2022","Sep"
"AMPASINAMBO_AMBODIARA NORD",2021-09-01,4.98186061360745,8.07585459042658,13.0924550971961,NA,7,11,17,NA,1320,3,"2021/2022","Sep"
"AMPASINAMBO_AMPASIMBOLA I",2021-09-01,9.2175192554255,15.1350058069842,24.8534646460916,NA,3,6,9,NA,376,3,"2021/2022","Sep"
"AMPASINAMBO_FIADANANA NORD",2021-09-01,10.5890392242249,17.2563186472346,28.1217715982722,NA,5,8,12,NA,436,3,"2021/2022","Sep"
"AMPASINAMBO_MORARANO",2021-09-01,2.8259417028026,5.44501663632279,10.4906434965289,NA,1,3,5,NA,488,3,"2021/2022","Sep"
"AMPASINAMBO_SAKAVANANA",2021-09-01,5.21327217148916,8.60463075134479,14.2019329458839,NA,4,7,11,NA,792,3,"2021/2022","Sep"
"AMPASINAMBO_VOLOBE",2021-09-01,6.83075468989646,11.3306378450288,18.7935551103816,NA,3,4,7,NA,384,3,"2021/2022","Sep"
"ANALAMPASINA_AMBARO",2021-09-01,3.31556047473779,5.16553896891678,8.04578309810555,NA,4,6,10,NA,1258,3,"2021/2022","Sep"
"ANALAMPASINA_AMBOHIMALAZA",2021-09-01,4.34002889724065,6.44867147155001,9.58034773060356,NA,4,6,9,NA,904,3,"2021/2022","Sep"
"ANALAMPASINA_AMBOHIMIARINA",2021-09-01,4.92808544475606,7.86674309691178,12.5541715128363,NA,2,4,6,NA,465,3,"2021/2022","Sep"
"ANALAMPASINA_ANALAMPASINA",2021-09-01,12.2213033900396,18.0205650447773,26.5678266298223,NA,16,24,35,NA,1330,3,"2021/2022","Sep"
"ANALAMPASINA_ANALAVORY",2021-09-01,3.27340382875716,5.02768743626094,7.72044993390173,NA,2,3,5,NA,683,3,"2021/2022","Sep"
"ANALAMPASINA_ANDRORANGAVOLA SUD",2021-09-01,14.7002207792539,21.8101670176456,32.3547443668628,NA,8,12,18,NA,548,3,"2021/2022","Sep"
"ANALAMPASINA_BETAMPO NORD",2021-09-01,12.4025744224164,18.9875412591344,29.0620932912638,NA,9,14,21,NA,713,3,"2021/2022","Sep"
"ANALAMPASINA_MANJIRIANA SUD",2021-09-01,4.61413969131749,7.19888426502269,11.2282129439228,NA,4,6,9,NA,772,3,"2021/2022","Sep"
"ANALAMPASINA_MATSITSIRANO",2021-09-01,7.69688052518408,11.2662911185757,16.4882804802314,NA,6,8,12,NA,735,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBALATABAKA",2021-09-01,8.59846561703809,12.3393507718631,17.7054233550093,NA,7,10,14,NA,814,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBALAVAONA",2021-09-01,7.18267006418696,10.4465440473736,15.1909562728846,NA,7,11,16,NA,1040,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBODIARA NORD",2021-09-01,8.49017857543446,12.1103491217458,17.2717167651653,NA,8,11,15,NA,886,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBODIFONTSINA",2021-09-01,5.97178147128851,8.73589775296394,12.7767130867966,NA,6,9,13,NA,1022,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBODIRORANGA",2021-09-01,12.9030075541905,18.1774384189456,25.6050695462446,NA,13,18,26,NA,1001,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO",2021-09-01,12.8307877335783,19.9275573467438,30.9382044770734,NA,10,15,24,NA,762,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMBOHIMISAFY",2021-09-01,12.6637917625749,17.8963918015398,25.2883748673774,NA,15,21,30,NA,1200,3,"2021/2022","Sep"
"ANDRORANGAVOLA_AMPASIMPOTSY",2021-09-01,8.97517600353609,12.6298503084932,17.7706096266559,NA,14,19,27,NA,1515,3,"2021/2022","Sep"
"ANDRORANGAVOLA_ANDRORANGAVOLA",2021-09-01,5.89821494404103,8.31118136639566,11.7103388582888,NA,15,21,30,NA,2568,3,"2021/2022","Sep"
"ANDRORANGAVOLA_ANIVORANO",2021-09-01,4.77803915464838,6.70927259165843,9.42067856167381,NA,10,14,19,NA,2021,3,"2021/2022","Sep"
"ANDRORANGAVOLA_LAVAKIANJA SUD",2021-09-01,9.45795112152856,13.9283238981211,20.5066794507484,NA,7,11,16,NA,776,3,"2021/2022","Sep"
"ANDRORANGAVOLA_MAHASOA",2021-09-01,14.1470861869044,19.6506012743319,27.2927848918383,NA,39,54,74,NA,2725,3,"2021/2022","Sep"
"ANDRORANGAVOLA_MANDRIAPOTSY",2021-09-01,6.34785814698989,9.38029896801647,13.8580848134557,NA,2,4,5,NA,388,3,"2021/2022","Sep"
"ANDRORANGAVOLA_NOSIBE SUD",2021-09-01,6.975083150077,10.0752983959259,14.5512489455331,NA,6,9,13,NA,908,3,"2021/2022","Sep"
"ANTARETRA_AMBINANIVATOMENA",2021-09-01,8.4023273473331,11.9637726011202,17.0324368443491,NA,8,11,15,NA,897,3,"2021/2022","Sep"
"ANTARETRA_AMBOATROTROKA",2021-09-01,8.45736726239904,11.8692100792396,16.6555324318213,NA,13,19,26,NA,1580,3,"2021/2022","Sep"
"ANTARETRA_AMBODIARA I",2021-09-01,6.02372083007975,8.5985088449776,12.2718604440682,NA,4,6,9,NA,717,3,"2021/2022","Sep"
"ANTARETRA_AMBODIROTRA",2021-09-01,3.69913462077467,5.27372676308398,7.51740044980843,NA,3,5,7,NA,906,3,"2021/2022","Sep"
"ANTARETRA_AMPASIMBE",2021-09-01,11.8636579838779,16.6720372905484,23.4264351429767,NA,11,15,21,NA,916,3,"2021/2022","Sep"
"ANTARETRA_ANDONABE",2021-09-01,5.95747246854957,8.40139849903478,11.8465325804445,NA,9,13,18,NA,1531,3,"2021/2022","Sep"
"ANTARETRA_ANDRANOMAITSO",2021-09-01,2.29333140086451,3.22859357420053,4.54467823019424,NA,4,6,8,NA,1824,3,"2021/2022","Sep"
"ANTARETRA_ANTARETRA",2021-09-01,2.51043167648412,3.54935309732034,5.01749801617399,NA,6,8,11,NA,2250,3,"2021/2022","Sep"
"ANTARETRA_BETAMPONA",2021-09-01,2.68970227855339,3.8303573311623,5.45395881572983,NA,1,2,3,NA,551,3,"2021/2022","Sep"
"ANTARETRA_MORAFENO",2021-09-01,6.56624994947493,9.24496061394615,13.0146273041784,NA,5,7,10,NA,769,3,"2021/2022","Sep"
"ANTSINDRA_AMBATOVORY",2021-09-01,3.68969570421222,5.63565497806684,8.60560835926139,NA,6,9,14,NA,1683,3,"2021/2022","Sep"
"ANTSINDRA_AMPITABE",2021-09-01,7.24653537447708,11.2468753457419,17.4504539119109,NA,8,12,18,NA,1053,3,"2021/2022","Sep"
"ANTSINDRA_AMPITOMITA",2021-09-01,8.88308198864028,13.0894100684443,19.2849009138914,NA,7,10,15,NA,798,3,"2021/2022","Sep"
"ANTSINDRA_ANIVORANO",2021-09-01,7.06765292784126,10.6787844824128,16.1308517361584,NA,7,11,17,NA,1026,3,"2021/2022","Sep"
"ANTSINDRA_ANTSINDRA",2021-09-01,10.1962504217506,14.9909355588761,22.037677147946,NA,15,22,32,NA,1469,3,"2021/2022","Sep"
"ANTSINDRA_BEFOTAKA",2021-09-01,6.43427604238553,9.77913623975918,14.8587198711869,NA,6,10,15,NA,986,3,"2021/2022","Sep"
"ANTSINDRA_KIANJAVATO",2021-09-01,12.0547150182533,17.5759761692158,25.6218941445967,NA,9,13,19,NA,731,3,"2021/2022","Sep"
"FASINTSARA_AMBALAPAISO",2021-09-01,3.82648312908873,5.49678426518389,7.89426569404671,NA,4,6,9,NA,1089,3,"2021/2022","Sep"
"FASINTSARA_AMBATOMANJAKA",2021-09-01,2.94018147303414,4.16485497104971,5.89834976304932,NA,3,5,6,NA,1085,3,"2021/2022","Sep"
"FASINTSARA_AMBINANISERY",2021-09-01,5.2936050086089,7.62618642694174,10.9844606041025,NA,2,3,5,NA,448,3,"2021/2022","Sep"
"FASINTSARA_AMBODIARA SUD",2021-09-01,4.80000778668052,6.72780240076145,9.42822285733872,NA,7,10,13,NA,1419,3,"2021/2022","Sep"
"FASINTSARA_AMBODIVOANGY",2021-09-01,3.38787915483504,4.98559869557671,7.33475302900359,NA,2,3,5,NA,698,3,"2021/2022","Sep"
"FASINTSARA_AMBOHINIHAONANA",2021-09-01,4.43773260152396,6.31063325678195,8.97220165290723,NA,3,5,6,NA,724,3,"2021/2022","Sep"
"FASINTSARA_AMBOHITSARA",2021-09-01,5.74374808920396,8.13207331575843,11.5115799660158,NA,2,3,4,NA,350,3,"2021/2022","Sep"
"FASINTSARA_ANDRANOMAINTSO",2021-09-01,4.82870662566531,6.80852296218487,9.59843807627739,NA,7,10,14,NA,1484,3,"2021/2022","Sep"
"FASINTSARA_ANTENIMBELONA",2021-09-01,2.8503253869075,4.0339943650873,5.70808045915301,NA,4,5,7,NA,1228,3,"2021/2022","Sep"
"FASINTSARA_BEFOTAKA",2021-09-01,5.98601619506454,8.68418584282727,12.5958927240273,NA,2,3,4,NA,341,3,"2021/2022","Sep"
"FASINTSARA_FASINTSARA",2021-09-01,5.67747225866398,7.99961290678497,11.2693706207085,NA,6,8,11,NA,1012,3,"2021/2022","Sep"
"FASINTSARA_MANAKANA SUD",2021-09-01,4.75925858946942,6.81267343969594,9.75004967490268,NA,3,5,7,NA,693,3,"2021/2022","Sep"
"FASINTSARA_MAROVORAKA",2021-09-01,3.6122028098523,5.20143881410143,7.48806743201589,NA,3,4,6,NA,764,3,"2021/2022","Sep"
"FASINTSARA_SAHAKONDRO",2021-09-01,2.11279374296077,3.11053260023368,4.57848103354417,NA,1,1,2,NA,363,3,"2021/2022","Sep"
"FASINTSARA_TSARAKIANJA",2021-09-01,1.56186022876706,2.26212893073453,3.27566900338871,NA,1,2,3,NA,837,3,"2021/2022","Sep"
"FASINTSARA_TSARARIVOTRA",2021-09-01,8.4374690833344,11.914426585753,16.8215160331222,NA,4,5,7,NA,417,3,"2021/2022","Sep"
"FASINTSARA_TSARATANANA",2021-09-01,3.37600730153064,4.81391499084596,6.86279601869603,NA,4,6,8,NA,1233,3,"2021/2022","Sep"
"IFANADIANA_AMBODIARA",2021-09-01,6.21430080314233,8.4692172620873,11.5419253626153,NA,12,16,22,NA,1869,3,"2021/2022","Sep"
"IFANADIANA_AMBODIRAFIA II",2021-09-01,2.32954264349769,3.19929803222732,4.39358535898616,NA,6,9,12,NA,2691,3,"2021/2022","Sep"
"IFANADIANA_AMBORAKA",2021-09-01,1.80399136975723,2.47034510486559,3.38266435877735,NA,4,5,7,NA,1990,3,"2021/2022","Sep"
"IFANADIANA_ANDRANOFOLAHINA",2021-09-01,1.76234206343288,2.42731858782742,3.34305710582443,NA,2,3,5,NA,1418,3,"2021/2022","Sep"
"IFANADIANA_ANTAFOTENINA",2021-09-01,1.48524474836203,2.044879753357,2.81521350769404,NA,2,3,4,NA,1321,3,"2021/2022","Sep"
"IFANADIANA_FENOARIVO I",2021-09-01,3.35304668111325,4.6835943959243,6.54163562255232,NA,4,5,7,NA,1046,3,"2021/2022","Sep"
"IFANADIANA_IFANADIANA",2021-09-01,1.67954436884144,2.28519765159797,3.10909559309852,NA,10,13,18,NA,5782,3,"2021/2022","Sep"
"IFANADIANA_MAROMENA",2021-09-01,2.40097963211272,3.26951002716017,4.45208130622849,NA,5,7,10,NA,2251,3,"2021/2022","Sep"
"IFANADIANA_SAHAFITOROKA",2021-09-01,2.49996967081386,3.41012961369207,4.6514211571205,NA,6,8,11,NA,2467,3,"2021/2022","Sep"
"KELILALINA_AMBALADINGANA",2021-09-01,6.45680615646189,8.9315261929045,12.3531371355924,NA,7,9,13,NA,1030,3,"2021/2022","Sep"
"KELILALINA_AMBODIPAISO NORD",2021-09-01,3.9376168516082,5.4515195145001,7.54650930465161,NA,2,3,4,NA,548,3,"2021/2022","Sep"
"KELILALINA_AMBODIPAISO SUD",2021-09-01,2.09983291304814,2.91365377828726,4.04230096200051,NA,2,2,3,NA,775,3,"2021/2022","Sep"
"KELILALINA_AMBODIVOANGY",2021-09-01,4.1525493156825,5.72681765692498,7.89680418623147,NA,5,7,9,NA,1162,3,"2021/2022","Sep"
"KELILALINA_AMBOHINIHAONANA",2021-09-01,4.01394142867074,5.52332636993613,7.5993056875368,NA,5,6,9,NA,1156,3,"2021/2022","Sep"
"KELILALINA_AMPITAMBE",2021-09-01,4.32078207502587,6.04829835488636,8.46547450236204,NA,2,2,3,NA,398,3,"2021/2022","Sep"
"KELILALINA_ANDRANOMAINTY",2021-09-01,4.33374718456745,5.96117992374815,8.19870535270977,NA,6,8,11,NA,1309,3,"2021/2022","Sep"
"KELILALINA_ANOSY",2021-09-01,4.84560556505345,6.81399532047025,9.5806693323676,NA,2,3,5,NA,509,3,"2021/2022","Sep"
"KELILALINA_FOTSIALANANA",2021-09-01,4.91854149461175,6.67205842278928,9.04973604706251,NA,10,13,18,NA,1963,3,"2021/2022","Sep"
"KELILALINA_KELILALINA",2021-09-01,4.3913093368059,5.97255009466739,8.12226712900277,NA,16,22,30,NA,3734,3,"2021/2022","Sep"
"KELILALINA_KIANJANOMBY",2021-09-01,4.25456228677653,5.80867951855065,7.92955142755119,NA,5,7,10,NA,1205,3,"2021/2022","Sep"
"KELILALINA_MANDRIVANY",2021-09-01,2.54055390414548,3.46831420498901,4.73429542442547,NA,4,5,7,NA,1441,3,"2021/2022","Sep"
"MAROHARATRA_AMBALAVOLO",2021-09-01,9.5664777665652,13.6077721658362,19.3582296596465,NA,11,15,21,NA,1110,3,"2021/2022","Sep"
"MAROHARATRA_AMBINANINDRANO",2021-09-01,2.21562124915483,3.25689298094612,4.78762219397468,NA,2,2,3,NA,720,3,"2021/2022","Sep"
"MAROHARATRA_AMBODIMANGA",2021-09-01,8.04328699106086,11.6919017542348,16.996645379163,NA,5,7,11,NA,638,3,"2021/2022","Sep"
"MAROHARATRA_AMBOHITSARA EST",2021-09-01,2.898684491733,4.2708763056372,6.29261305529785,NA,3,5,8,NA,1196,3,"2021/2022","Sep"
"MAROHARATRA_AMPASIMADINIKA",2021-09-01,2.56648985207263,3.75085970186201,5.48188626954398,NA,2,3,5,NA,830,3,"2021/2022","Sep"
"MAROHARATRA_AMPASIMADINIKAKELY",2021-09-01,3.90795601944117,5.7135511669133,8.35362895041953,NA,3,5,7,NA,836,3,"2021/2022","Sep"
"MAROHARATRA_AMPASIMPOTSY",2021-09-01,3.30825127480557,4.80943773445725,6.99212978923284,NA,2,3,4,NA,558,3,"2021/2022","Sep"
"MAROHARATRA_ANIVORANO",2021-09-01,2.35563356153351,3.68497204993538,5.76425990129276,NA,1,2,4,NA,632,3,"2021/2022","Sep"
"MAROHARATRA_ANTANJOMANGA",2021-09-01,1.69396962241051,2.71273538154773,4.34369315806451,NA,1,2,3,NA,759,3,"2021/2022","Sep"
"MAROHARATRA_BETAMPONA NORD",2021-09-01,1.17642627764533,1.7325340440839,2.55152312468027,NA,1,2,2,NA,896,3,"2021/2022","Sep"
"MAROHARATRA_MAHATSARA",2021-09-01,2.82878209047099,4.31368656177662,6.57764215506687,NA,3,4,7,NA,1012,3,"2021/2022","Sep"
"MAROHARATRA_MALAZAMASINA NORD",2021-09-01,2.20439608457978,3.56672970030173,5.77067191903702,NA,1,2,4,NA,619,3,"2021/2022","Sep"
"MAROHARATRA_MALAZAMASINA SUD",2021-09-01,7.1359988844895,11.0927736599101,17.2428003912315,NA,5,7,12,NA,669,3,"2021/2022","Sep"
"MAROHARATRA_MALEMIAMBO",2021-09-01,1.25476528453735,1.88609998030864,2.83512704733931,NA,1,1,2,NA,622,3,"2021/2022","Sep"
"MAROHARATRA_MANAKANA",2021-09-01,1.20857975861368,1.94672762422583,3.13589725261808,NA,1,1,2,NA,492,3,"2021/2022","Sep"
"MAROHARATRA_MAROHARATRA",2021-09-01,3.51392480295593,5.06224961725362,7.29307871334169,NA,4,6,8,NA,1143,3,"2021/2022","Sep"
"MAROHARATRA_SAHOMBY",2021-09-01,2.6205595745514,4.18029873021824,6.66778660028112,NA,2,2,4,NA,581,3,"2021/2022","Sep"
"MAROHARATRA_SOANIERANA",2021-09-01,2.0196841285249,2.95108549153765,4.3122289531229,NA,1,2,3,NA,595,3,"2021/2022","Sep"
"MAROHARATRA_TANAMBAO OUEST",2021-09-01,2.04046296951798,2.9977339745912,4.40424222263911,NA,1,2,2,NA,557,3,"2021/2022","Sep"
"MAROTOKO_AMBALAVIA",2021-09-01,14.4959539604619,22.3569086410131,34.4736849035673,NA,8,12,19,NA,547,3,"2021/2022","Sep"
"MAROTOKO_AMBARIJATSY",2021-09-01,11.2503891090778,18.265578362599,29.6493158669081,NA,10,16,25,NA,852,3,"2021/2022","Sep"
"MAROTOKO_AMBATOMITRATRAKA",2021-09-01,28.8359468854,43.5853465861073,65.8707773845108,NA,13,19,29,NA,445,3,"2021/2022","Sep"
"MAROTOKO_AMBOATROTROKA",2021-09-01,15.5084163049475,23.1699523937811,34.609877563477,NA,12,18,27,NA,792,3,"2021/2022","Sep"
"MAROTOKO_AMBODIARA SUD",2021-09-01,6.33442346188648,9.31321620875739,13.6900974048095,NA,5,8,12,NA,867,3,"2021/2022","Sep"
"MAROTOKO_AMBOHIMAHAVELONA",2021-09-01,14.691024769074,22.7932676317854,35.3558187612404,NA,10,15,24,NA,678,3,"2021/2022","Sep"
"MAROTOKO_KIANJANOMBY",2021-09-01,8.33452568793644,12.0244012413653,17.3450238732935,NA,7,10,15,NA,846,3,"2021/2022","Sep"
"MAROTOKO_MANAMPANDRANA",2021-09-01,6.20767686391274,9.19325191846368,13.6120642256715,NA,4,6,8,NA,612,3,"2021/2022","Sep"
"MAROTOKO_MANDIAFASINA",2021-09-01,9.43511873982224,13.8095821115349,20.2086741333532,NA,7,10,14,NA,707,3,"2021/2022","Sep"
"MAROTOKO_MAROTOKO",2021-09-01,4.64232067071824,6.72096759719985,9.72884077340414,NA,9,13,19,NA,1984,3,"2021/2022","Sep"
"RANOMAFANA_AMBATOLAHY",2021-09-01,1.06925885004977,1.6275140351354,2.4769126848144,NA,2,2,4,NA,1456,3,"2021/2022","Sep"
"RANOMAFANA_AMBODIAVIAVY",2021-09-01,1.41311993146667,2.17117861438183,3.33546364731501,NA,2,3,4,NA,1165,3,"2021/2022","Sep"
"RANOMAFANA_AMPASIMPOTSY",2021-09-01,1.98982837732777,3.01448812684861,4.56635852854922,NA,4,6,10,NA,2135,3,"2021/2022","Sep"
"RANOMAFANA_MENARANO",2021-09-01,1.77694050748594,2.70201071868515,4.1081064988446,NA,3,4,6,NA,1438,3,"2021/2022","Sep"
"RANOMAFANA_RANOMAFANA",2021-09-01,0.869006426242329,1.30021581286758,1.94520776916223,NA,4,6,9,NA,4379,3,"2021/2022","Sep"
"RANOMAFANA_SAHANDRAZANA",2021-09-01,3.02566159123264,4.9044850571625,7.9481562081223,NA,3,4,7,NA,879,3,"2021/2022","Sep"
"RANOMAFANA_TSARAMANDROSO",2021-09-01,3.79384373599764,5.79597538916129,8.85354610537186,NA,10,15,23,NA,2638,3,"2021/2022","Sep"
"RANOMAFANA_VOHIMARINA",2021-09-01,1.84293430157825,2.85375166389306,4.41850704523487,NA,3,5,8,NA,1794,3,"2021/2022","Sep"
"TSARATANANA_AMBALAFARY",2021-09-01,18.6329180952043,25.9890220018808,36.2442669285111,NA,19,26,37,NA,1015,3,"2021/2022","Sep"
"TSARATANANA_AMBALAFATAKANA EST",2021-09-01,12.5432741599101,16.9240134953518,22.8316210228631,NA,12,16,21,NA,924,3,"2021/2022","Sep"
"TSARATANANA_AMBATOHARANANA",2021-09-01,4.13997226505385,5.59226650034806,7.55237167742652,NA,9,12,16,NA,2097,3,"2021/2022","Sep"
